Course_Code,R1_Points19,R2_Points19,R1_Points20,R2_Points20,Course Category,HEI,Course_Name,R1_Points21,R2_Points21
LC418,271.0,,270.0,,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Computing - Games Design and Development,260.0,256.0
LC422,288.0,,298.0,,Personal services,Limerick Institute of Technology,Applied Strength and Conditioning,289.0,
LC502,838.0,,852.0,,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Game Art and Design (portfolio),841.0,
LC517,229.0,,234.0,,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Creative Media and Design,279.0,
LC518,816.0,,808.0,,Information and Communication Technologies (ICTs),Limerick Institute of Technology,Digital Animation Production (portfolio),807.0,
LC612,319.0,,320.0,,Welfare,Limerick Institute of Technology,Social Care Work,309.0,
LM002,329.0,,348.0,,Humanities (except languages),University of Limerick,Arts,360.0,360.0
LM020,436.0,,465.0,,Law,University of Limerick,Law and Accounting,474.0,
LM026,307.0,,303.0,,Arts,University of Limerick,Performing Arts (audition format TBC),329.0,
LM028,387.0,,418.0,,Law,University of Limerick,Criminal Justice,420.0,
LM029,473.0,,490.0,,Law,University of Limerick,Law Plus,530.0,
LM038,478.0,,500.0,,Social and behavioural sciences,University of Limerick,Psychology and Sociology,530.0,
LM039,388.0,,402.0,,Journalism and information,University of Limerick,Journalism and Digital Communication,432.0,
LM040,350.0,,369.0,,Humanities (except languages),University of Limerick,European Studies,409.0,
LM044,404.0,,442.0,,Languages,University of Limerick,Applied Languages,429.0,
LM050,419.0,,431.0,,Business and administration,University of Limerick,Business Studies (options),451.0,
LM056,511.0,,528.0,,Business and administration,University of Limerick,International Business,555.0,
LM058,434.0,,403.0,,Mathematics and statistics,University of Limerick,Financial Mathematics,468.0,
LM063,372.0,,379.0,,Information and Communication Technologies (ICTs),University of Limerick,Technology Management,410.0,
LM068,400.0,,421.0,,Manufacturing and processing,University of Limerick,Food Science and Health,464.0,
LM076,402.0,,408.0,,Manufacturing and processing,University of Limerick,Product Design and Technology (portfolio required),401.0,
LM077,469.0,,520.0,,Engineering and engineering trades,University of Limerick,Aeronautical Engineering,567.0,
LM082,368.0,,398.0,,Manufacturing and processing,University of Limerick,Construction Management and Engineering,446.0,
LM089,441.0,,474.0,,Personal services,University of Limerick,Sport and Exercise Sciences,498.0,
LM090,498.0,,532.0,,Education,University of Limerick,Physical Education with concurrent Teacher Educati,552.0,544.0
LM092,478.0,,507.0,,Education,University of Limerick,Science with Teacher Ed (Biology with Physics/Chem,521.0,
LM093,338.0,,339.0,,Biological and related sciences,University of Limerick,Equine Science,367.0,
LM094,405.0,,440.0,,Education,University of Limerick,Materials and Architectural Technology with concur,475.0,
LM095,358.0,,367.0,,Education,University of Limerick,Materials and Engineering Technology with concurre,425.0,
LM096,382.0,,405.0,,Education,University of Limerick,Science with Teacher Ed (Physical Sciences with Ch,454.0,
LM099,419.0,,498.0,,Architecture and construction,University of Limerick,Architecture,520.0,
LM100,565.0,,589.0,,Health,University of Limerick,Physiotherapy,613.0,
LM102,495.0,,509.0,,Social and behavioural sciences,University of Limerick,Psychology,534.0,
LM103,313.0,,392.0,,Health,University of Limerick,Paramedic Studies (Full B/Provisional C1 Drivers L,429.0,
LM115,456.0,,454.0,,Physical sciences,University of Limerick,Chemical and Biochemical Engineering,476.0,
LM116,434.0,,476.0,,Engineering and engineering trades,University of Limerick,Engineering (Biomedical/Civil/Design and Manufactu,498.0,
LM118,401.0,,403.0,,Engineering and engineering trades,University of Limerick,Electronic and Computer Engineering,445.0,
LM121,352.0,,351.0,,Information and Communication Technologies (ICTs),University of Limerick,Computer Science (Computer Systems/Games Dev/Cyber,402.0,
LM123,412.0,,441.0,,Biological and related sciences,University of Limerick,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498.0,
LM124,427.0,,437.0,,Mathematics and statistics,University of Limerick,Mathematics (Math Science/Maths and Physics/Econom,455.0,
LM125,405.0,,404.0,,Physical sciences,University of Limerick,Physics (Applied Physics or Mathematics and Physic,489.0,
LM150,440.0,,475.0,,Health,University of Limerick,General Nursing,498.0,487.0
LM152,388.0,,419.0,,Health,University of Limerick,Mental Health Nursing,478.0,466.0
LM154,381.0,,420.0,,Health,University of Limerick,Intellectual Disability Nursing,462.0,443.0
LM156,429.0,,469.0,,Health,University of Limerick,Midwifery,521.0,508.0
MU001,290.0,,290.0,290.0,Interdisciplinary programmes and qualifications involving arts and humanities,"Pontifical University, St Patrick's College",Theology and Arts,294.0,294.0
MH001,496.0,,507.0,,Education,Maynooth University,Education - Primary Teaching (Froebel),564.0,
MH101,316.0,,318.0,,Humanities (except languages),Maynooth University,Arts,338.0,336.0
MH106,495.0,,521.0,,Social and behavioural sciences,Maynooth University,Psychology - 3 years,554.0,
MH107,326.0,,346.0,,Social and behavioural sciences,Maynooth University,Social Science,390.0,
MH109,317.0,,316.0,,Arts,Maynooth University,Media Studies,324.0,
MH201,350.0,,360.0,,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Maynooth University,Science,401.0,400.0
MH202,429.0,,455.0,,Biological and related sciences,Maynooth University,Biotechnology,490.0,489.0
MH204,420.0,,422.0,,Physical sciences,Maynooth University,Physics with Astrophysics,422.0,
MH206,498.0,,510.0,,Mathematics and statistics,Maynooth University,Theoretical Physics and Mathematics,521.0,
MH207,434.0,,445.0,,Information and Communication Technologies (ICTs),Maynooth University,Data Science,444.0,
MH208,451.0,,498.0,,Biological and related sciences,Maynooth University,Biological and Biomedical Sciences,543.0,
MH209,473.0,,498.0,,Social and behavioural sciences,Maynooth University,Psychology (through Science) - 4 years,529.0,
MH210,446.0,,487.0,,Physical sciences,Maynooth University,Pharmaceutical and Biomedical Chemistry,510.0,
MH212,444.0,,422.0,,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Maynooth University,Science|Maths and Computer Science|Mathematics (wi,452.0,443.0
MH304,371.0,,333.0,333.0,Engineering and engineering trades,Maynooth University,Engineering (Computer/Electronic/Communications),351.0,351.0
MH305,358.0,,357.0,,Engineering and engineering trades,Maynooth University,Product Design,326.0,
MH306,361.0,,361.0,,Engineering and engineering trades,Maynooth University,Robotics and Intelligent Devices,362.0,
MH401,352.0,,357.0,,Business and administration,Maynooth University,Finance (options),370.0,
MH402,476.0,,476.0,,Business and administration,Maynooth University,Quantitative Finance,476.0,
MH403,402.0,,422.0,,Business and administration,Maynooth University,Accounting and Finance,424.0,
MH404,400.0,,430.0,,Business and administration,Maynooth University,Business (options),441.0,
MH407,401.0,,420.0,,Business and administration,Maynooth University,Business and Accounting,423.0,
MH411,358.0,,371.0,,Business and administration,Maynooth University,Entrepreneurship,378.0,
MH501,451.0,,473.0,,Law,Maynooth University,LLB Law - four year Single Major Law programme,507.0,
MH502,410.0,,451.0,,Law,Maynooth University,Law (options),465.0,
MH601,342.0,,352.0,,Information and Communication Technologies (ICTs),Maynooth University,Computer Science through Arts (options),381.0,
MH602,357.0,,351.0,,Information and Communication Technologies (ICTs),Maynooth University,Computer Science through Science (options),400.0,
MH603,520.0,,532.0,,Information and Communication Technologies (ICTs),Maynooth University,Computational Thinking,520.0,
AS001,456.0,,510.0,,Education,St. Angela`s College,Education,,542.0
AS002,400.0,,441.0,434.0,Education,St. Angela`s College,Education,,464.0
AS003,421.0,,440.0,440.0,Education,St. Angela`s College,Education,,463.0
AS051,337.0,,328.0,317.0,Business and administration,St. Angela`s College,Nutrition,,378.0
AS054,387.0,,408.0,398.0,Biological and related sciences,St. Angela`s College,Home Economics,440.0,419.0
AS110,391.0,,419.0,,Health,St. Angela`s College,General Nursing,440.0,432.0
AS130,317.0,,336.0,328.0,Health,St. Angela`s College,Intellectual Disability Nursing,387.0,358.0
SG141,252.0,,261.0,,Business and administration,"Institute of Technology, Sligo",Business,262.0,
SG146,307.0,,309.0,,Business and administration,"Institute of Technology, Sligo",Accounting,304.0,
SG147,269.0,,307.0,,Personal services,"Institute of Technology, Sligo",Sport with Business,288.0,
SG148,246.0,,269.0,,Personal services,"Institute of Technology, Sligo",Tourism with Event Management,298.0,
SG241,279.0,,328.0,,Arts,"Institute of Technology, Sligo",Performing Arts,341.0,
SG242,278.0,,279.0,,Welfare,"Institute of Technology, Sligo",Early Childhood Care and Education,287.0,
SG243,297.0,,301.0,,Welfare,"Institute of Technology, Sligo",Social Care Practice,309.0,
SG244,355.0,,505.0,,Arts,"Institute of Technology, Sligo",Fine Art,501.0,
SG245,261.0,,282.0,,Arts,"Institute of Technology, Sligo",Creative Design,332.0,
SG246,295.0,,290.0,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo",Computing,316.0,
SG247,308.0,,309.0,,Social and behavioural sciences,"Institute of Technology, Sligo",English and Psychology,319.0,
SG248,282.0,,281.0,,Social and behavioural sciences,"Institute of Technology, Sligo",Sociology and Politics,298.0,
SG249,279.0,,297.0,,Languages,"Institute of Technology, Sligo",Writing and Literature,308.0,
SG252,300.0,,307.0,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo",Software Development,310.0,
SG253,273.0,,324.0,,Information and Communication Technologies (ICTs),"Institute of Technology, Sligo",Computing in Computer Networks and Cyber Security,336.0,
SG343,261.0,,311.0,,Architecture and construction,"Institute of Technology, Sligo",Quantity Surveying,300.0,
SG346,289.0,,291.0,,Architecture and construction,"Institute of Technology, Sligo",Construction Project Management and Applied Techno,313.0,
SG347,309.0,,360.0,,Architecture and construction,"Institute of Technology, Sligo",Architecture,403.0,
SG442,289.0,,290.0,,Hygiene and occupational health services,"Institute of Technology, Sligo",Occupational Safety and Health,307.0,
SG443,357.0,,356.0,,Health,"Institute of Technology, Sligo",Human Nutrition,376.0,
SG444,308.0,,338.0,,Biological and related sciences,"Institute of Technology, Sligo",Science Undenominated,358.0,
SG445,347.0,,311.0,,Physical sciences,"Institute of Technology, Sligo",Pharmaceutical Science with Drug Development,357.0,
SG447,316.0,,328.0,,Health,"Institute of Technology, Sligo",Health Science and Physical Activity,326.0,
SG448,306.0,,306.0,,Biological and related sciences,"Institute of Technology, Sligo",Forensic Investigation and Analysis,308.0,
SG449,329.0,,341.0,,Health,"Institute of Technology, Sligo",Medical Biotechnology,315.0,
TL801,281.0,,281.0,,Arts,"Institute of Technology, Tralee",Animation,,718.0
TL802,306.0,,325.0,,Arts,"Institute of Technology, Tralee",TV,8.0,322.0
TL810,309.0,,310.0,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee",Computing with Software Development,308.0,
TL811,310.0,,358.0,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee",Computing with Games Development,322.0,
TL815,308.0,,308.0,,Information and Communication Technologies (ICTs),"Institute of Technology, Tralee",Computing (Degree Award options),307.0,
TL823,291.0,,299.0,,Personal services,"Institute of Technology, Tralee",Event Management (3 year programme),293.0,
TL831,307.0,,306.0,,Business and administration,"Institute of Technology, Tralee",Business Studies (Major Specialism in: Acctng or M,306.0,
TL844,311.0,,300.0,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary","Institute of Technology, Tralee",Agricultural Engineering,301.0,
TL845,300.0,,325.0,,Architecture and construction,"Institute of Technology, Tralee",Civil Engineering,361.0,
TL847,,,302.0,,Manufacturing and processing,"Institute of Technology, Tralee",Manufacturing Engineering,305.0,
TL848,331.0,,308.0,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary","Institute of Technology, Tralee",Agricultural Science,307.0,
TL851,310.0,,309.0,,Environment,"Institute of Technology, Tralee",Wildlife Biology (Degree Award options),309.0,
TL855,342.0,,317.0,,Health,"Institute of Technology, Tralee",Pharmaceutical Science (Degree Award options),316.0,
TL858,326.0,,308.0,,Veterinary,"Institute of Technology, Tralee",Veterinary Bioscience,317.0,
TL871,303.0,,300.0,,Personal services,"Institute of Technology, Tralee",Health and Leisure (Degree Award options),303.0,
TL872,288.0,,309.0,,Personal services,"Institute of Technology, Tralee",Health and Leisure with Massage,314.0,
TL873,282.0,,289.0,,Personal services,"Institute of Technology, Tralee",Coaching and Sports Performance,308.0,
TL880,307.0,,307.0,,Welfare,"Institute of Technology, Tralee",Early Childhood Care and Education,309.0,
TL890,407.0,,440.0,414.0,Health,"Institute of Technology, Tralee",General Nursing and Mature Applicants,463.0,
TL891,367.0,,389.0,378.0,Health,"Institute of Technology, Tralee",Mental Health Nursing and Mature Applicants,440.0,419.0
WD001,279.0,,260.0,260.0,Information and Communication Technologies (ICTs),Waterford Institute of Technology,Applied Computing (options),270.0,261.0
WD002,302.0,,308.0,,Physical sciences,Waterford Institute of Technology,Science (options),279.0,
WD005,288.0,,280.0,,Health,Waterford Institute of Technology,Health Sciences (options),271.0,
WD006,282.0,,280.0,,Personal services,Waterford Institute of Technology,Exercise Sciences (options),270.0,
WD007,287.0,,288.0,288.0,Engineering and engineering trades,Waterford Institute of Technology,Engineering (options),270.0,270.0
WD025,269.0,,269.0,,Architecture and construction,Waterford Institute of Technology,Construction Management and Engineering,262.0,
WD027,290.0,,262.0,,Arts,Waterford Institute of Technology,Music,321.0,
WD048,278.0,,271.0,,Business and administration,Waterford Institute of Technology,Business (options),279.0,
WD084,307.0,,308.0,,Business and administration,Waterford Institute of Technology,Accounting,308.0,
WD091,210.0,,228.0,,Personal services,Waterford Institute of Technology,Hospitality Management,225.0,
WD116,413.0,,422.0,,Health,Waterford Institute of Technology,General Nursing,446.0,
WD117,361.0,,366.0,,Health,Waterford Institute of Technology,Psychiatric Nursing,415.0,
WD120,338.0,,377.0,,Health,Waterford Institute of Technology,Intellectual Disability Nursing,390.0,
WD134,289.0,,290.0,,Business and administration,Waterford Institute of Technology,International Business,267.0,
WD137,253.0,,271.0,,Arts,Waterford Institute of Technology,Design (Visual Communications),252.0,
WD140,290.0,,280.0,,Law,Waterford Institute of Technology,Laws,280.0,
WD144,283.0,,284.0,,Architecture and construction,Waterford Institute of Technology,Architecture,309.0,
WD147,298.0,,293.0,,Physical sciences,Waterford Institute of Technology,Pharmaceutical Science,288.0,
WD150,271.0,,270.0,,Law,Waterford Institute of Technology,Criminal Justice Studies,280.0,
WD152,253.0,,,,Arts,Waterford Institute of Technology,Visual Art,243.0,
WD161,262.0,,255.0,,Information and Communication Technologies (ICTs),Waterford Institute of Technology,Computer Forensics and Security,270.0,
WD162,260.0,,216.0,,Architecture and construction,Waterford Institute of Technology,Quantity Surveying,226.0,
WD163,390.0,,434.0,,Social and behavioural sciences,Waterford Institute of Technology,Psychology,456.0,
WD186,276.0,,270.0,,Personal services,Waterford Institute of Technology,Sports Coaching and Performance,261.0,
WD187,271.0,,272.0,,Welfare,Waterford Institute of Technology,Social Science,276.0,
WD191,378.0,,377.0,,Agriculture,Waterford Institute of Technology,Agricultural Science,377.0,
WD192,279.0,,270.0,,Welfare,Waterford Institute of Technology,Social Care Practice,271.0,
WD193,290.0,,271.0,,Business and administration,Waterford Institute of Technology,Marketing and Digital Media,279.0,
WD194,235.0,,217.0,,Personal services,Waterford Institute of Technology,Culinary Arts,237.0,
WD195,266.0,,279.0,,Architecture and construction,Waterford Institute of Technology,Architectural and Building Information Modelling T,279.0,
WD200,221.0,,,,Arts,Waterford Institute of Technology,Arts (options),201.0,201.0
WD210,271.0,,279.0,,Information and Communication Technologies (ICTs),Waterford Institute of Technology,Software Systems Development,260.0,
WD211,275.0,,271.0,,Information and Communication Technologies (ICTs),Waterford Institute of Technology,Creative Computing,270.0,
WD212,274.0,,270.0,,Personal services,Waterford Institute of Technology,Recreation and Sport Management,262.0,
WD230,273.0,,253.0,,Engineering and engineering trades,Waterford Institute of Technology,Mechanical and Manufacturing Engineering,230.0,230.0
