Course_Code,R1_Points19,R2_Points19,R1_Points20,R2_Points20,Course Category,HEI,Course_Name,R1_Points21,R2_Points21
CR370,408.0,,397.0,,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Cork Institute of Technology,Agri-Biosciences,368.0,
CR400,316.0,,316.0,,Business and administration,Cork Institute of Technology,Accounting,315.0,
CR420,288.0,,285.0,,Business and administration,Cork Institute of Technology,Marketing,290.0,
CR425,300.0,,298.0,,Business and administration,Cork Institute of Technology,International Business with Language,279.0,
CR510,319.0,,320.0,,Environment,Cork Institute of Technology,Sustainable Energy Engineering,320.0,
CR520,434.0,,444.0,,Health,Cork Institute of Technology,Biomedical Engineering,444.0,
CR560,288.0,,308.0,,Architecture and construction,Cork Institute of Technology,Architectural Technology,375.0,
CR565,336.0,,359.0,,Architecture and construction,Cork Institute of Technology,Interior Architecture,431.0,
CR570,279.0,,336.0,,Architecture and construction,Cork Institute of Technology,Quantity Surveying,375.0,
CR572,253.0,,269.0,,Architecture and construction,Cork Institute of Technology,Construction Management,300.0,
CR580,344.0,,318.0,,Engineering and engineering trades,Cork Institute of Technology,Electrical Engineering,342.0,
CR590,342.0,,303.0,,Engineering and engineering trades,Cork Institute of Technology,Electronic Engineering,329.0,
CR600,587.0,,,,Arts,Cork Institute of Technology,Visual Communications at CIT Crawford College of A,280.0,
CR660,249.0,,252.0,,Personal services,Cork Institute of Technology,Tourism Management,246.0,
CR700,768.0,,740.0,645.0,Arts,Cork Institute of Technology,Theatre and Drama Studies at CIT Cork School of Mu,609.0,609.0
CK101,300.0,,300.0,,Arts,University College Cork (NUI),Arts - 3 years,300.0,
CK102,391.0,,412.0,,Social and behavioural sciences,University College Cork (NUI),Social Science,434.0,431.0
CK104,340.0,,302.0,,Arts,University College Cork (NUI),Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339.0,
CK105,397.0,,368.0,337.0,Arts,University College Cork (NUI),Film and Screen Media - 3 years or 4 years (Intern,421.0,420.0
CK107,326.0,,328.0,,Humanities (except languages),University College Cork (NUI),Geographical and Archaeological Sciences - 3 or 4,312.0,
CK108,429.0,,401.0,,Languages,University College Cork (NUI),Arts International - 4 years,440.0,440.0
CK109,347.0,,318.0,,Languages,University College Cork (NUI),English - 3 years or 4 years (International Pathwa,367.0,357.0
CK110,456.0,,452.0,433.0,Languages,University College Cork (NUI),World Languages,488.0,
CK111,398.0,,419.0,,Welfare,University College Cork (NUI),Early Years and Childhood Studies,409.0,403.0
CK112,324.0,,330.0,,Arts,University College Cork (NUI),Theatre and Performative Practices - 3 or 4 years,371.0,
CK113,408.0,,423.0,,Social and behavioural sciences,University College Cork (NUI),Criminology - 3 years or 4 years (International Pa,464.0,463.0
CK118,307.0,,336.0,,Arts,University College Cork (NUI),Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,339.0
CK120,506.0,,533.0,532.0,Social and behavioural sciences,University College Cork (NUI),Applied Psychology,544.0,543.0
CK121,393.0,,466.0,,Social and behavioural sciences,University College Cork (NUI),Psychology and Computing - 3 or 4 years (Work Expe,499.0,488.0
CK122,355.0,,337.0,328.0,Social and behavioural sciences,University College Cork (NUI),Government and Political Science,399.0,
CK201,465.0,,477.0,,Business and administration,University College Cork (NUI),Commerce,500.0,499.0
CK202,467.0,,509.0,,Business and administration,University College Cork (NUI),Accounting,553.0,543.0
CK203,409.0,,430.0,,Information and Communication Technologies (ICTs),University College Cork (NUI),Business Information Systems,455.0,452.0
CK204,531.0,,556.0,,Business and administration,University College Cork (NUI),Finance,566.0,566.0
CK205,409.0,,445.0,,Business and administration,University College Cork (NUI),Commerce (International) with French,465.0,
CK206,408.0,,420.0,418.0,Business and administration,University College Cork (NUI),Commerce (International) with German,466.0,455.0
CK207,408.0,,388.0,,Business and administration,University College Cork (NUI),Commerce (International) with Italian,423.0,418.0
CK208,431.0,,402.0,,Business and administration,University College Cork (NUI),Commerce (International) with Hispanic Studies,488.0,486.0
CK209,509.0,,484.0,,Business and administration,University College Cork (NUI),Commerce (International) with Irish,507.0,
CK211,398.0,,397.0,,Business and administration,University College Cork (NUI),Commerce (International) with Chinese Studies,385.0,
CK212,400.0,,444.0,,Social and behavioural sciences,University College Cork (NUI),Economics (through Transformational Learning) 3 or,445.0,444.0
CK301,476.0,,507.0,499.0,Law,University College Cork (NUI),Law (Pathways) -,34.0,533.0
CK302,453.0,,542.0,,Law,University College Cork (NUI),Law and French,545.0,
CK304,462.0,,540.0,,Law,University College Cork (NUI),Law and Irish,588.0,
CK307,522.0,,556.0,,Law,University College Cork (NUI),Law and Business,589.0,589.0
CK401,402.0,,468.0,,Information and Communication Technologies (ICTs),University College Cork (NUI),Computer Science,503.0,495.0
CK402,498.0,,510.0,509.0,Biological and related sciences,University College Cork (NUI),Biological and Chemical Sciences,555.0,555.0
CK404,412.0,,467.0,,Biological and related sciences,University College Cork (NUI),Biological,,500.0
CK405,476.0,,487.0,,Biological and related sciences,University College Cork (NUI),Genetics,543.0,
CK406,457.0,,485.0,472.0,Physical sciences,University College Cork (NUI),Chemical Sciences,532.0,
CK407,531.0,,566.0,565.0,Mathematics and statistics,University College Cork (NUI),Mathematical Sciences,566.0,
CK408,511.0,,554.0,542.0,Physical sciences,University College Cork (NUI),Physics and Astrophysics,566.0,
CK409,413.0,,432.0,,Physical sciences,University College Cork (NUI),Industrial Physics - Offered jointly by UCC and CI,465.0,
CK411,509.0,,510.0,,Information and Communication Technologies (ICTs),University College Cork (NUI),Data Science and Analytics,531.0,
CK504,492.0,,518.0,,Biological and related sciences,University College Cork (NUI),Nutritional Sciences,555.0,554.0
CK505,444.0,,441.0,440.0,Manufacturing and processing,University College Cork (NUI),Food Science,463.0,
CK600,465.0,,487.0,,Engineering and engineering trades,University College Cork (NUI),Engineering,510.0,509.0
CK606,465.0,,484.0,476.0,Architecture and construction,University College Cork (NUI),Architecture - Offered jointly by UCC and CIT,543.0,
CK701,729.0,,731.0,,Health,University College Cork (NUI),Medicine (Undergraduate Entry - HPAT required),738.0,737.0
CK702,590.0,,613.0,613.0,Health,University College Cork (NUI),Dentistry,625.0,625.0
CK703,577.0,,590.0,589.0,Health,University College Cork (NUI),Pharmacy,613.0,613.0
CK704,532.0,,566.0,555.0,Health,University College Cork (NUI),Occupational Therapy,601.0,
CK705,509.0,,520.0,,Health,University College Cork (NUI),Speech and Language Therapy,568.0,566.0
CK706,419.0,,454.0,,Health,University College Cork (NUI),Public Health Sciences,500.0,
CK707,510.0,,542.0,541.0,Health,University College Cork (NUI),Medical and Health Sciences,578.0,
CK710,440.0,,454.0,,Health,University College Cork (NUI),General Nursing,498.0,497.0
CK712,499.0,,533.0,,Health,University College Cork (NUI),Children`s and General Nursing (Integrated),565.0,
CK720,398.0,,423.0,,Health,University College Cork (NUI),Mental Health Nursing,455.0,452.0
CK730,359.0,,419.0,411.0,Health,University College Cork (NUI),Intellectual Disability Nursing,431.0,
CK740,444.0,,484.0,,Health,University College Cork (NUI),Midwifery,509.0,
AC120,234.0,,209.0,,Business and administration,American College,International Business,294.0,294.0
AC137,252.0,,252.0,,Humanities (except languages),American College,Liberal Arts,271.0,270.0
CT125,235.0,,220.0,,Information and Communication Technologies (ICTs),CCT College Dublin,Computing and IT,242.0,242.0
CM001,452.0,,484.0,,Education,Marino Institute of Education,Education - Primary Teaching,508.0,
CM002,421.0,,,,Education,Marino Institute of Education,Education - Primary Teaching - Gaeltacht Applicant,462.0,
CM003,491.0,,528.0,,Education,Marino Institute of Education,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,
CM004,492.0,,494.0,,Education,Marino Institute of Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,
CM010,317.0,,319.0,,Education,Marino Institute of Education,Education Studies,382.0,327.0
CM020,336.0,,327.0,,Education,Marino Institute of Education,Early Childhood Education,317.0,
DB500,242.0,,218.0,218.0,Information and Communication Technologies (ICTs),Dublin Business School,Computing,234.0,234.0
DB501,326.0,,227.0,227.0,Information and Communication Technologies (ICTs),Dublin Business School,Computing (Cloud Computing),178.0,
DB502,269.0,,341.0,341.0,Information and Communication Technologies (ICTs),Dublin Business School,Computing (Data Analytics and Big Data),267.0,233.0
DB510,233.0,,234.0,223.0,Arts,Dublin Business School,Audio Production and Music Project Management,217.0,217.0
DB512,229.0,,218.0,203.0,Business and administration,Dublin Business School,Business Studies,243.0,210.0
DB514,269.0,,252.0,,Business and administration,Dublin Business School,Business Studies (Law),239.0,225.0
DB515,225.0,,244.0,244.0,Business and administration,Dublin Business School,Business Studies (Human Resource Management),242.0,217.0
DB517,226.0,,238.0,,Business and administration,Dublin Business School,Marketing (Event Management),233.0,225.0
DB521,225.0,,225.0,195.0,Business and administration,Dublin Business School,Accounting and Finance,243.0,228.0
DB524,402.0,,342.0,309.0,Information and Communication Technologies (ICTs),Dublin Business School,Business (Information Systems),247.0,239.0
DB526,253.0,,347.0,,Information and Communication Technologies (ICTs),Dublin Business School,Business (Cloud Computing),244.0,244.0
DB527,235.0,,234.0,260.0,Social and behavioural sciences,Dublin Business School,Applied Social Care,254.0,219.0
DB531,220.0,,293.0,,Business and administration,Dublin Business School,Marketing,288.0,176.0
DB562,208.0,,243.0,229.0,Social and behavioural sciences,Dublin Business School,Psychology,244.0,233.0
DB566,216.0,,220.0,227.0,Social and behavioural sciences,Dublin Business School,Social Science,262.0,228.0
DB567,192.0,,218.0,202.0,Arts,Dublin Business School,Film and Creative Media,245.0,213.0
DB568,245.0,,219.0,252.0,Law,Dublin Business School,Law,254.0,228.0
DC001,398.0,,440.0,,Education,Dublin City University,Education - Early Childhood Education,445.0,
DC002,462.0,,488.0,,Education,Dublin City University,Education - Primary Teaching,518.0,
DC003,433.0,,445.0,,Education,Dublin City University,Education - Primary Teaching - Gaeltacht Applicant,489.0,
DC004,357.0,,411.0,409.0,Education,Dublin City University,Education - Primary Teaching (Church of Ireland Ce,451.0,
DC009,347.0,,376.0,,Arts,Dublin City University,Arts (Joint Honours) - Humanities,356.0,
DC010,386.0,,441.0,429.0,Education,Dublin City University,Post Primary Teacher Education - Religious Educati,384.0,
DC011,352.0,,412.0,391.0,Education,Dublin City University,Post Primary Teacher Education - Religious Educati,409.0,
DC012,367.0,,378.0,,Education,Dublin City University,Post Primary Teacher Education - Religious Educati,409.0,
DC013,410.0,,419.0,,Education,Dublin City University,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,
DC014,428.0,,419.0,,Arts,Dublin City University,BA in Jazz and Contemporary Music Performance (aud,311.0,
DC110,440.0,,465.0,,Languages,Dublin City University,Business Studies International,498.0,
DC111,463.0,,488.0,,Business and administration,Dublin City University,Business Studies,511.0,
DC112,495.0,,517.0,510.0,Business and administration,Dublin City University,Global Business (France),542.0,
DC113,440.0,,462.0,,Business and administration,Dublin City University,Global Business (Germany),484.0,
DC114,501.0,,522.0,,Business and administration,Dublin City University,Global Business (Spain),544.0,
DC115,487.0,,510.0,,Business and administration,Dublin City University,Accounting and Finance,544.0,
DC116,578.0,,579.0,,Business and administration,Dublin City University,Global Business (USA),613.0,
DC117,463.0,,476.0,475.0,Engineering and engineering trades,Dublin City University,Aviation Management / Aviation Management with Pil,484.0,
DC118,357.0,,359.0,,Business and administration,Dublin City University,Gná agus Gaeilge / Business and Irish,368.0,
DC119,566.0,,564.0,,Business and administration,Dublin City University,Global Business (Canada),601.0,
DC120,350.0,,357.0,,Information and Communication Technologies (ICTs),Dublin City University,Computing for Business,403.0,402.0
DC121,370.0,,400.0,,Information and Communication Technologies (ICTs),Dublin City University,Computer Science,475.0,
DC123,467.0,,465.0,,Information and Communication Technologies (ICTs),Dublin City University,Data Science,501.0,
DC126,520.0,,560.0,,Mathematics and statistics,Dublin City University,Actuarial Mathematics,577.0,
DC127,509.0,,532.0,520.0,Mathematics and statistics,Dublin City University,Common Entry into Actuarial and Financial Mathemat,541.0,
DC131,400.0,,407.0,402.0,Humanities (except languages),Dublin City University,Communication Studies,421.0,
DC132,401.0,,429.0,422.0,Journalism and information,Dublin City University,Journalism,452.0,
DC133,403.0,,411.0,410.0,Arts,Dublin City University,Multimedia,435.0,
DC155,371.0,,387.0,,Languages,Dublin City University,Applied Language and Translation Studies,427.0,
DC161,446.0,,498.0,489.0,Physical sciences,Dublin City University,Analytical Science,498.0,
DC162,488.0,,521.0,,Physical sciences,Dublin City University,Chemical and Pharmaceutical Sciences,531.0,
DC166,412.0,,433.0,399.0,Environment,Dublin City University,Environmental Science and Technology,423.0,
DC168,489.0,,512.0,510.0,Biological and related sciences,Dublin City University,Genetics and Cell Biology,543.0,
DC181,476.0,,499.0,495.0,Biological and related sciences,Dublin City University,Biotechnology,530.0,
DC190,391.0,,413.0,,Engineering and engineering trades,Dublin City University,Electronic and Computer Engineering (with choice o,488.0,
DC193,404.0,,411.0,,Engineering and engineering trades,Dublin City University,Mechatronic Engineering,490.0,
DC195,401.0,,425.0,,Engineering and engineering trades,Dublin City University,Mechanical and Manufacturing Engineering,500.0,
DC197,402.0,,423.0,,Health,Dublin City University,Biomedical Engineering,510.0,
DC200,381.0,,422.0,,Engineering and engineering trades,Dublin City University,Common Entry into Engineering (Undenominated Entry,511.0,510.0
DC202,467.0,,500.0,498.0,Health,Dublin City University,Sport Science and Health,511.0,
DC203,424.0,,435.0,,Education,Dublin City University,Science Education,462.0,
DC204,484.0,,522.0,519.0,Health,Dublin City University,Athletic Therapy and Training,558.0,
DC205,490.0,,531.0,,Education,Dublin City University,Physical Education with Biology,565.0,
DC206,443.0,,499.0,,Education,Dublin City University,Physical Education with Mathematics,521.0,
DC208,509.0,,532.0,521.0,Social and behavioural sciences,Dublin City University,Psychology,565.0,
DC209,419.0,,465.0,440.0,Health,Dublin City University,Health and Society,477.0,
DC215,414.0,,454.0,433.0,Health,Dublin City University,General Nursing,456.0,
DC216,368.0,,418.0,403.0,Health,Dublin City University,Mental Health Nursing,420.0,
DC218,467.0,,500.0,498.0,Health,Dublin City University,Children`s and General Nursing (Integrated),521.0,
DC230,400.0,,435.0,,Social and behavioural sciences,Dublin City University,Economics,,431.0
DC231,387.0,,397.0,,Social and behavioural sciences,Dublin City University,International Relations,398.0,
DC232,453.0,,466.0,,Law,Dublin City University,Law and Society (BCL),469.0,
DC235,307.0,,309.0,,Education,Dublin City University,Education and Training - Daytime and Flexible Deli,302.0,
DC238,358.0,,377.0,,Humanities (except languages),Dublin City University,Social Sciences and Cultural Innovation,387.0,
DC240,451.0,,476.0,474.0,Business and administration,Dublin City University,Marketing,,499.0
DC291,349.0,,376.0,,Arts,Dublin City University,Arts (Joint Honours) - Media Studies,350.0,
DC292,356.0,,403.0,,Arts,Dublin City University,Arts (Joint Honours) - Law,400.0,
DC293,369.0,,377.0,,Arts,Dublin City University,Arts (Joint Honours) - International Languages,379.0,
DC295,348.0,,376.0,,Arts,Dublin City University,Arts (Joint Honours) - Politics,349.0,
DL822,209.0,,229.0,229.0,Business and administration,"Dun Laoghaire Institute of Art, Design and Technology",Arts Management,254.0,
DL823,260.0,,235.0,,Business and administration,"Dun Laoghaire Institute of Art, Design and Technology",Business Management,220.0,
DL825,349.0,,379.0,,Social and behavioural sciences,"Dun Laoghaire Institute of Art, Design and Technology",Applied Psychology,418.0,413.0
DL826,736.0,,855.0,,Arts,"Dun Laoghaire Institute of Art, Design and Technology",Graphic Design,591.0,
DL827,583.0,,572.0,,Arts,"Dun Laoghaire Institute of Art, Design and Technology",Art,574.0,
DL832,855.0,,920.0,,Arts,"Dun Laoghaire Institute of Art, Design and Technology",Animation,989.0,
DL833,636.0,,650.0,,Arts,"Dun Laoghaire Institute of Art, Design and Technology",Photography and Visual Media,671.0,671.0
