Course_Code,Course Name_x,R1_Points19,R2_Points19,Course Name_y,R1_Points20,R2_Points20,Course Category,Course_Name,R1_Points21,R2_Points21
CK113,Criminology - 3 years or 4 years (International Pathway),408.0,,Criminology - 3 years or 4 years (International Pathway),423.0,,Social and behavioural sciences,Criminology - 3 years or 4 years (International Pa,464.0,463.0
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307.0,,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336.0,,Arts,Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,339.0
CK120,Applied Psychology,506.0,,Applied Psychology,533.0,532.0,Social and behavioural sciences,Applied Psychology,544.0,543.0
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393.0,,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466.0,,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Expe,499.0,488.0
CK122,Government and Political Science,355.0,,Government and Political Science,337.0,328.0,Social and behavioural sciences,Government and Political Science,399.0,
CK201,Commerce,465.0,,Commerce,477.0,,Business and administration,Commerce,500.0,499.0
CK202,Accounting,467.0,,Accounting,509.0,,Business and administration,Accounting,553.0,543.0
CK203,Business Information Systems,409.0,,Business Information Systems,430.0,,Information and Communication Technologies (ICTs),Business Information Systems,455.0,452.0
CK204,Finance,531.0,,Finance,556.0,,Business and administration,Finance,566.0,566.0
CK205,Commerce (International) with French,409.0,,Commerce (International) with French,445.0,,Business and administration,Commerce (International) with French,465.0,
CK206,Commerce (International) with German,408.0,,Commerce (International) with German,420.0,418.0,Business and administration,Commerce (International) with German,466.0,455.0
CK207,Commerce (International) with Italian,408.0,,Commerce (International) with Italian,388.0,,Business and administration,Commerce (International) with Italian,423.0,418.0
CK208,Commerce (International) with Hispanic Studies,431.0,,Commerce (International) with Hispanic Studies,402.0,,Business and administration,Commerce (International) with Hispanic Studies,488.0,486.0
CK209,Commerce (International) with Irish,509.0,,Commerce (International) with Irish,484.0,,Business and administration,Commerce (International) with Irish,507.0,
CK211,Commerce (International) with Chinese Studies,398.0,,Commerce (International) with Chinese Studies,397.0,,Business and administration,Commerce (International) with Chinese Studies,385.0,
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400.0,,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444.0,,Social and behavioural sciences,Economics (through Transformational Learning) 3 or,445.0,444.0
CK301,Law (Pathways) -  3 or 4 years,476.0,,Law (Pathways) -  3 or 4 years,507.0,499.0,Law,Law (Pathways) -,34.0,533.0
CK302,Law and French,453.0,,Law and French,542.0,,Law,Law and French,545.0,
CK304,Law and Irish,462.0,,Law and Irish,540.0,,Law,Law and Irish,588.0,
CK307,Law and Business,522.0,,Law and Business,556.0,,Law,Law and Business,589.0,589.0
CK401,Computer Science,402.0,,Computer Science,468.0,,Information and Communication Technologies (ICTs),Computer Science,503.0,495.0
CK402,Biological and Chemical Sciences,498.0,,Biological and Chemical Sciences,510.0,509.0,Biological and related sciences,Biological and Chemical Sciences,555.0,555.0
CK404,"Biological, Earth and Environmental Sciences",412.0,,"Biological, Earth and Environmental Sciences",467.0,,Biological and related sciences,Biological,,500.0
CK405,Genetics,476.0,,Genetics,487.0,,Biological and related sciences,Genetics,543.0,
CK406,Chemical Sciences,457.0,,Chemical Sciences,485.0,472.0,Physical sciences,Chemical Sciences,532.0,
CK407,Mathematical Sciences,531.0,,Mathematical Sciences,566.0,565.0,Mathematics and statistics,Mathematical Sciences,566.0,
CK408,Physics and Astrophysics,511.0,,Physics and Astrophysics,554.0,542.0,Physical sciences,Physics and Astrophysics,566.0,
CK409,Industrial Physics (offered jointly by UCC and CIT),413.0,,Industrial Physics - Offered jointly by UCC and CIT,432.0,,Physical sciences,Industrial Physics - Offered jointly by UCC and CI,465.0,
CK411,Data Science and Analytics,509.0,,Data Science and Analytics,510.0,,Information and Communication Technologies (ICTs),Data Science and Analytics,531.0,
CK504,Nutritional Sciences,492.0,,Nutritional Sciences,518.0,,Biological and related sciences,Nutritional Sciences,555.0,554.0
CK505,Food Science,444.0,,Food Science,441.0,440.0,Manufacturing and processing,Food Science,463.0,
CK600,Engineering,465.0,,Engineering,487.0,,Engineering and engineering trades,Engineering,510.0,509.0
CK606,Architecture (offered jointly by UCC and CIT),465.0,,Architecture - Offered jointly by UCC and CIT,484.0,476.0,Architecture and construction,Architecture - Offered jointly by UCC and CIT,543.0,
CK701,Medicine (Undergraduate Entry - HPAT required),729.0,,Medicine (Undergraduate Entry - HPAT required),731.0,,Health,Medicine (Undergraduate Entry - HPAT required),738.0,737.0
CK702,Dentistry,590.0,,Dentistry,613.0,613.0,Health,Dentistry,625.0,625.0
CK703,Pharmacy,577.0,,Pharmacy,590.0,589.0,Health,Pharmacy,613.0,613.0
CK704,Occupational Therapy,532.0,,Occupational Therapy,566.0,555.0,Health,Occupational Therapy,601.0,
CK705,Speech and Language Therapy,509.0,,Speech and Language Therapy,520.0,,Health,Speech and Language Therapy,568.0,566.0
CK706,Public Health Sciences,419.0,,Public Health Sciences,454.0,,Health,Public Health Sciences,500.0,
CK707,Medical and Health Sciences,510.0,,Medical and Health Sciences,542.0,541.0,Health,Medical and Health Sciences,578.0,
CK710,General Nursing,440.0,,General Nursing,454.0,,Health,General Nursing,498.0,497.0
CK712,Children`s and General Nursing (Integrated),499.0,,Children`s and General Nursing (Integrated),533.0,,Health,Children`s and General Nursing (Integrated),565.0,
CK720,Mental Health Nursing,398.0,,Mental Health Nursing,423.0,,Health,Mental Health Nursing,455.0,452.0
CK730,Intellectual Disability Nursing,359.0,,Intellectual Disability Nursing,419.0,411.0,Health,Intellectual Disability Nursing,431.0,
CK740,Midwifery,444.0,,Midwifery,484.0,,Health,Midwifery,509.0,
AC120,International Business,234.0,,International Business,209.0,,Business and administration,International Business,294.0,294.0
AC137,Liberal Arts,252.0,,Liberal Arts,252.0,,Humanities (except languages),Liberal Arts,271.0,270.0
CT125,Information Technology,235.0,,Information Technology,220.0,,Information and Communication Technologies (ICTs),Computing and IT,242.0,242.0
CM001,Education - Primary Teaching,452.0,,Education - Primary Teaching,484.0,,Education,Education - Primary Teaching,508.0,
CM002,Education - Primary Teaching - Gaeltacht Applicants,421.0,,Education - Primary Teaching - Gaeltacht Applicants,,,Education,Education - Primary Teaching - Gaeltacht Applicant,462.0,
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491.0,,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528.0,,Education,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492.0,,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494.0,,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,
CM010,Education Studies,317.0,,Education Studies,319.0,,Education,Education Studies,382.0,327.0
CM020,Early Childhood Education,336.0,,Early Childhood Education,327.0,,Education,Early Childhood Education,317.0,
DB500,Computing,242.0,,Computing,218.0,218.0,Information and Communication Technologies (ICTs),Computing,234.0,234.0
DB501,Computing (Cloud Computing),326.0,,Computing (Cloud Computing),227.0,227.0,Information and Communication Technologies (ICTs),Computing (Cloud Computing),178.0,
DB502,Computing (Data Analytics and Big Data),269.0,,Computing (Data Analytics and Big Data),341.0,341.0,Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),267.0,233.0
DB510,Audio Production and Music Project Management,233.0,,Audio Production and Music Project Management,234.0,223.0,Arts,Audio Production and Music Project Management,217.0,217.0
DB512,Business Studies,229.0,,Business Studies,218.0,203.0,Business and administration,Business Studies,243.0,210.0
DB514,Business Studies (Law),269.0,,Business Studies (Law),252.0,,Business and administration,Business Studies (Law),239.0,225.0
DB515,Business Studies (Human Resource Management),225.0,,Business Studies (Human Resource Management),244.0,244.0,Business and administration,Business Studies (Human Resource Management),242.0,217.0
DB517,Event Management,226.0,,Marketing (Event Management),238.0,,Business and administration,Marketing (Event Management),233.0,225.0
DB521,Accounting and Finance,225.0,,Accounting and Finance,225.0,195.0,Business and administration,Accounting and Finance,243.0,228.0
