Course_Code,R1_Points19,R2_Points19,R1_Points20,R2_Points20,Course Category,Course_Name,R1_Points21,R2_Points21
DC168,489.0,,512.0,510.0,Biological and related sciences,Genetics and Cell Biology,543.0,
DC181,476.0,,499.0,495.0,Biological and related sciences,Biotechnology,530.0,
DC190,391.0,,413.0,,Engineering and engineering trades,Electronic and Computer Engineering (with choice o,488.0,
DC193,404.0,,411.0,,Engineering and engineering trades,Mechatronic Engineering,490.0,
DC195,401.0,,425.0,,Engineering and engineering trades,Mechanical and Manufacturing Engineering,500.0,
DC197,402.0,,423.0,,Health,Biomedical Engineering,510.0,
DC200,381.0,,422.0,,Engineering and engineering trades,Common Entry into Engineering (Undenominated Entry,511.0,510.0
DC202,467.0,,500.0,498.0,Health,Sport Science and Health,511.0,
DC203,424.0,,435.0,,Education,Science Education,462.0,
DC204,484.0,,522.0,519.0,Health,Athletic Therapy and Training,558.0,
DC205,490.0,,531.0,,Education,Physical Education with Biology,565.0,
DC206,443.0,,499.0,,Education,Physical Education with Mathematics,521.0,
DC208,509.0,,532.0,521.0,Social and behavioural sciences,Psychology,565.0,
DC209,419.0,,465.0,440.0,Health,Health and Society,477.0,
DC215,414.0,,454.0,433.0,Health,General Nursing,456.0,
DC216,368.0,,418.0,403.0,Health,Mental Health Nursing,420.0,
DC218,467.0,,500.0,498.0,Health,Children`s and General Nursing (Integrated),521.0,
DC230,400.0,,435.0,,Social and behavioural sciences,Economics,,431.0
DC231,387.0,,397.0,,Social and behavioural sciences,International Relations,398.0,
DC232,453.0,,466.0,,Law,Law and Society (BCL),469.0,
DC235,307.0,,309.0,,Education,Education and Training - Daytime and Flexible Deli,302.0,
DC238,358.0,,377.0,,Humanities (except languages),Social Sciences and Cultural Innovation,387.0,
DC240,451.0,,476.0,474.0,Business and administration,Marketing,,499.0
DC291,349.0,,376.0,,Arts,Arts (Joint Honours) - Media Studies,350.0,
DC292,356.0,,403.0,,Arts,Arts (Joint Honours) - Law,400.0,
DC293,369.0,,377.0,,Arts,Arts (Joint Honours) - International Languages,379.0,
DC295,348.0,,376.0,,Arts,Arts (Joint Honours) - Politics,349.0,
DL822,209.0,,229.0,229.0,Business and administration,Arts Management,254.0,
DL823,260.0,,235.0,,Business and administration,Business Management,220.0,
DL825,349.0,,379.0,,Social and behavioural sciences,Applied Psychology,418.0,413.0
DL826,736.0,,855.0,,Arts,Graphic Design,591.0,
DL827,583.0,,572.0,,Arts,Art,574.0,
DL832,855.0,,920.0,,Arts,Animation,989.0,
DL833,636.0,,650.0,,Arts,Photography and Visual Media,671.0,671.0
DL836,217.0,,219.0,,Information and Communication Technologies (ICTs),Creative Computing,235.0,
DL837,290.0,,201.0,,Humanities (except languages),New Media Studies,298.0,293.0
DL838,746.0,,754.0,,Arts,Creative Music Production,713.0,
GC200,269.0,,252.0,252.0,Business and administration,Business,269.0,242.0
GC201,251.0,,303.0,303.0,Business and administration,Accounting and Finance,260.0,226.0
GC230,228.0,,335.0,325.0,Information and Communication Technologies (ICTs),Computing Science,300.0,289.0
GC300,251.0,,429.0,,Business and administration,Business,264.0,264.0
GC301,307.0,,253.0,253.0,Business and administration,Accounting and Finance,251.0,
