,Course_Code,Course_Name,R1_Points,R2_Points
261,DC238,Social Sciences and Cultural Innovation,387,
262,DC240,Marketing,Innovation and Technology,499
263,DC241,Digital Business and Innovation,509,
264,DC291,Arts (Joint Honours) - Media Studies,350,
265,DC292,Arts (Joint Honours) - Law,400,
266,DC293,Arts (Joint Honours) - International Languages,379,
267,DC294,Climate and Environmental Sustainability,475,
268,DC295,Arts (Joint Honours) - Politics,349,
269,DL822,Arts Management,254,
270,DL823,Business Management,220,
271,DL825,Applied Psychology,418,413
272,DL826,Graphic Design,591,
273,DL827,Art,574,
274,DL832,Animation,989,
275,DL833,Photography and Visual Media,671,671
276,DL836,Creative Computing,235,
277,DL837,New Media Studies,298,293
278,DL838,Creative Music Production,713,
279,DL839,Interaction and User Experience Design,757,
280,DL840,Digital Marketing,210,
281,DL841,English and Equality Studies,277,277
282,DL843,Film,987,874
283,DL844,Television,566,
284,DL845,Design for Film (degree options),628,
285,GC200,Business,269,242
286,GC201,Accounting and Finance,260,226
287,GC230,Computing Science,300,289
288,GC300,Business,264,264
289,GC301,Accounting and Finance,251,
290,GC302,Business - HRM,377,377
291,GC307,Business (Marketing),289,270
292,GC400,Business,250,228
293,GC401,Accounting and Finance,242,242
294,GC403,Law,245,242
295,GC407,Business (Marketing),264,264
296,GC430,Computing Science,251,251
297,GC450,Communications and Media Production,225,225
298,GC462,Design Communication (portfolio),300,
299,GC489,Interior Architecture (portfolio),288,274
300,GC494,Fashion Design (portfolio),351,
301,BY001,Business,210,210
302,AD101,First Year Art and Design (Common Entry portfolio),554,
303,AD102,Graphic Design and Moving Image Design (portfolio),538,
304,AD103,Textile and Surface Design and Jewellery and Objec,505,
305,AD202,Education and Design or Fine Art (Second Level Tea,591,
306,AD204,Fine Art (portfolio),514,
307,AD211,Fashion Design (portfolio),760,679
308,AD212,Product Design (portfolio),413,
309,AD215,Visual Culture,337,300
310,AD217,Illustration (portfolio),738,
311,AD222,Interaction Design (portfolio),444,
312,NC003,Computing (Degree Award options),271,
313,NC005,Human Resource Management,301,
314,NC009,Business,300,
315,NC010,Psychology,420,
316,NC020,Marketing Practice,270,
