,Course_Code,Course_Name,R1_Points21,R2_Points21
182,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,
183,CM010,Education Studies,382.0,327.0
184,CM020,Early Childhood Education,317.0,
185,DB500,Computing,234.0,234.0
186,DB501,Computing (Cloud Computing),,178.0
187,DB502,Computing (Data Analytics and Big Data),267.0,233.0
188,DB503,Computing (Software Development),,
189,DB504,Computing (Web and Mobile Technology),,
190,DB510,Audio Production and Music Project Management,217.0,217.0
191,DB512,Business Studies,243.0,210.0
192,DB514,Business Studies (Law),239.0,225.0
193,DB515,Business Studies (Human Resource Management),242.0,217.0
194,DB517,Marketing (Event Management),233.0,225.0
195,DB518,Marketing (Digital Media),307.0,209.0
196,DB521,Accounting and Finance,243.0,228.0
197,DB524,Business (Information Systems),247.0,239.0
198,DB525,Marketing (Digital Media and Cloud Computing),288.0,288.0
199,DB526,Business (Cloud Computing),244.0,244.0
200,DB527,Applied Social Care,254.0,219.0
201,DB531,Marketing,288.0,176.0
202,DB562,Psychology,244.0,233.0
203,DB566,Social Science,262.0,228.0
204,DB567,Film and Creative Media,245.0,213.0
205,DB568,Law,254.0,228.0
206,DB569,Business (Psychology),240.0,240.0
207,DC001,Education - Early Childhood Education,445.0,
208,DC002,Education - Primary Teaching,518.0,
209,DC003,Education - Primary Teaching - Gaeltacht Applicant,489.0,
210,DC004,Education - Primary Teaching (Church of Ireland Ce,451.0,
211,DC009,Arts (Joint Honours) - Humanities,356.0,
212,DC010,Post Primary Teacher Education - Religious Educati,384.0,
213,DC011,Post Primary Teacher Education - Religious Educati,409.0,
214,DC012,Post Primary Teacher Education - Religious Educati,409.0,
215,DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,
216,DC014,BA in Jazz and Contemporary Music Performance (aud,311.0,
217,DC110,Business Studies International,498.0,
218,DC111,Business Studies,511.0,
219,DC112,Global Business (France),542.0,
220,DC113,Global Business (Germany),484.0,
221,DC114,Global Business (Spain),544.0,
222,DC115,Accounting and Finance,544.0,
223,DC116,Global Business (USA),613.0,
224,DC117,Aviation Management / Aviation Management with Pil,484.0,
225,DC118,Gná agus Gaeilge / Business and Irish,368.0,
226,DC119,Global Business (Canada),601.0,
227,DC120,Computing for Business,403.0,402.0
228,DC121,Computer Science,475.0,
229,DC123,Data Science,501.0,
230,DC126,Actuarial Mathematics,577.0,
231,DC127,Common Entry into Actuarial and Financial Mathemat,541.0,
232,DC131,Communication Studies,421.0,
233,DC132,Journalism,452.0,
234,DC133,Multimedia,435.0,
235,DC155,Applied Language and Translation Studies,427.0,
236,DC161,Analytical Science,498.0,
237,DC162,Chemical and Pharmaceutical Sciences,531.0,
238,DC163,Chemical Sciences General Entry (Undenominated Ent,466.0,
239,DC166,Environmental Science and Technology,423.0,
240,DC168,Genetics and Cell Biology,543.0,
241,DC175,Physics General Entry (options),400.0,
242,DC180,Biological Sciences General Entry (Undenominated E,530.0,
243,DC181,Biotechnology,530.0,
244,DC190,Electronic and Computer Engineering (with choice o,488.0,
245,DC193,Mechatronic Engineering,490.0,
